,iShares S&P 500 Inf Tech Sector UCITS ETF USD AccI,Invesco STOXX Europe 600 UCITS ETF AccH,iShares Core S&P 500 UCITS ETF USD (Acc)H,Vanguard FTSE All-World UCITS ETF USD AccI,iShares MSCI Poland UCITS ETF USD (Acc),Xtrackers Spain UCITS ETF 1C,iShares MSCI India UCITS ETF USD Acc (EUR),iShares Core MSCI Japan IMI UCITS ETF USD Acc,iShares Healthcare Innovation UCITS ETF USD A,iShares FTSE MIB UCITS ETF EUR (Acc),iShares Core MSCI Europe UCITS ETF EUR (Acc),Amundi Euro Stoxx Banks UCITS ETF Acc,HSBC MSCI CHINA,ISHARES EMIM,SPDR Russell 2000 US Small Cap UCITS ETF,Invesco Physical Gold ETC,Xtrackers S&P 500 Equal Weight UCITS ETF,Vanguard Global Aggregate Bond ETF EUR Hgd Acc,iShares Bitcoin ETP,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),HSBC Hang Seng Tech UCITS ETF HKD,iMGP DBi Managed Futures R EUR ETF
Date,QDVEDE,SC0CDE,SXR8DE,VWCEDE,IBCJDE,XESPDE,QDV5DE,EUNNDE,HEALAS,CSMIBMI,IMAEAS,LYBKDE,H4ZPDE,IS3NDE,ZPRRDE,SGLDMI,XDEWDE,VAGFDE,IB1TDE,SXRTDE,H4ZXDE,DBMFEPA
9/8/2022,17,95.27,414.46,97.82,10.3,22.53,7.57,40.73,7.4,90.29,72.02,83.14,5.95,28.6,51.97,165.77,75.87,22.58,,121.08,5.5,
9/9/2022,17.1,96.76,416.49,98.55,10.72,22.86,7.5,41.08,7.46,92.14,72.02,85.87,6.02,28.77,52.45,165.27,76.22,22.52,,124.2,5.56,
9/12/2022,17.21,98.32,418.17,99.14,10.95,23.28,7.58,40.98,7.45,94.18,72.02,88.8,6.02,28.97,52.6,165.2,76.44,22.62,,126.66,5.54,
9/13/2022,16.77,96.85,410.29,97.5,10.62,22.91,7.53,40.44,7.3,94.18,72.02,87.89,5.97,28.67,51.83,165.2,75.33,22.47,,125.42,5.48,
9/14/2022,16.65,95.97,406.61,96.84,10.66,22.86,7.59,40.72,7.26,94.18,72.02,88.36,5.91,28.63,51.46,165.2,74.35,22.46,,123.9,5.41,
9/15/2022,16.3,95.35,404.06,96.21,10.72,22.92,7.53,40.43,7.27,94.18,72.02,90.07,5.9,28.38,51.48,165.2,74.23,22.44,,123.22,5.42,
9/16/2022,15.97,93.81,396.22,94.49,10.39,22.64,7.38,40.2,7.11,94.18,72.02,88.43,5.76,27.92,50.19,165.2,72.62,22.41,,121.3,5.24,
9/19/2022,16.09,93.75,397.87,94.67,10.61,22.68,7.45,40.22,6.98,94.18,72.02,88.47,5.74,27.9,50.34,165.2,72.84,22.36,,122.32,5.23,
9/20/2022,16.23,92.76,398.26,94.65,10.45,22.37,7.48,40.1,7.04,94.18,72.02,87.6,5.79,28.03,50.3,165.2,72.5,22.25,,122.36,5.28,
9/21/2022,16.49,93.64,404.22,95.73,10.43,22.36,7.5,40.34,7.09,91.84,72.02,87.23,5.71,28.04,51.24,163.16,73.74,22.26,,120.72,5.16,
9/22/2022,16.01,91.87,394.4,93.79,10.49,22.08,7.41,40.5,6.84,91,72.02,88.07,5.66,27.8,49.4,164.4,71.56,22.16,,119.26,5.13,
9/23/2022,16,89.76,391.44,92.77,10.08,21.55,7.34,40.26,6.76,87.91,72.02,84.97,5.6,27.47,48.47,163.63,70.72,22.06,,116.48,5.04,
9/26/2022,16.17,89.5,393.96,93.08,9.88,21.36,7.27,40.13,6.84,88.68,72.02,84.22,5.72,27.43,48.93,164.25,71.16,21.9,,115.92,5.23,
9/27/2022,16.16,89.14,393,92.86,9.96,21.1,7.26,39.86,6.86,87.81,72.02,82.24,5.71,27.4,48.9,164.3,70.88,21.71,,114.84,5.2,
9/28/2022,16.01,89.54,394.11,93.13,9.89,21.08,7.28,40.02,7.09,87.14,72.02,80.71,5.65,27.23,49.49,165.79,71.38,21.88,,115.98,5.12,
9/29/2022,15.53,88.17,383.84,90.81,9.46,20.69,7.01,39.32,6.91,85.06,72.02,78.85,5.44,26.41,47.9,163.87,69.55,21.81,,114.84,4.87,
9/30/2022,15.62,89.19,385.46,91.33,9.44,20.88,7.17,39.38,7.06,86.11,72.02,80.35,5.47,26.55,48.9,165.04,69.87,21.91,,114.98,4.88,
10/3/2022,15.5,89.81,383.7,91.29,9.53,21.16,7.09,39.59,6.97,87.32,72.02,81.28,5.43,26.66,48.72,166.07,70.04,21.99,,114.24,4.84,
10/4/2022,15.91,92.76,391.27,93.26,9.99,21.84,7.16,40.01,7.1,90.29,72.02,84.94,5.6,27.15,49.88,167.23,71.43,22.12,,118,5.07,
10/5/2022,15.92,91.9,391.23,93.07,9.75,21.55,7.18,40.03,7.08,89.01,72.02,83.09,5.63,27.21,49.63,167.48,71.53,21.96,,119.9,5.04,
10/6/2022,16.22,91.28,395.96,93.72,9.64,21.33,7.18,40.23,7.18,88.4,72.02,82.2,5.65,27.39,50.27,168.43,72.2,21.87,,121.24,5.08,
10/7/2022,15.63,90.14,387.17,92.03,9.56,21.16,7.09,39.96,7.06,87.35,72.02,81.71,5.52,27.06,49.19,167.95,70.66,21.77,,119.2,4.91,
10/10/2022,15.39,89.77,384.56,91.47,9.44,21.09,7.21,39.86,6.93,87.46,72.02,81.71,5.36,26.8,49.13,166.46,70.56,21.67,,116.48,4.74,
10/11/2022,15.22,89.34,382.58,90.86,9.46,20.92,7.1,39.72,6.91,86.52,72.02,80.89,5.26,26.44,49.06,166.24,70.24,21.7,,115.52,4.6,
10/12/2022,15.16,88.72,381.93,90.5,9.44,20.63,7.11,39.38,6.87,85.6,72.02,80.36,5.23,26.32,48.65,166.2,69.96,21.6,,115.88,4.56,
10/13/2022,15.24,89.76,382.09,90.66,9.48,20.92,7.08,39.06,6.92,86.64,72.02,82.76,5.15,26.15,49.19,164.18,70.02,21.65,,116.72,4.45,
10/14/2022,15.23,89.93,383.56,90.69,9.59,21.03,7.08,39.01,6.97,87.41,72.02,83.4,5.17,26.15,49.17,163.32,70.12,21.51,,118.58,4.45,
10/17/2022,15.36,91.68,386.39,91.69,9.75,21.51,7.18,38.96,7.07,89.02,72.02,84.96,5.26,26.48,49.69,163.61,70.59,21.62,,120.24,4.58,
10/18/2022,15.38,91.92,387.72,91.72,9.82,21.66,7.14,38.63,7.12,89.96,72.02,86.16,5.19,26.27,49.94,162.1,70.88,21.55,,120.52,4.54,
10/19/2022,15.54,91.44,390.08,91.9,9.63,21.59,7.13,38.72,6.97,89.67,72.02,86.22,5.07,26.11,49.74,161.24,71.13,21.51,,120.9,4.39,
10/20/2022,15.74,91.79,390.49,92.26,9.93,21.8,7.25,38.85,6.96,90.45,72.02,87.38,5.09,26.41,49.85,161.44,70.94,21.46,,120.6,4.45,
10/21/2022,15.65,91.27,389.05,91.88,9.85,21.55,7.29,38.85,6.92,89.94,72.02,87.2,5.05,26.32,49.17,161.99,70.6,21.34,,120.54,4.35,
10/24/2022,15.89,92.52,394.19,92.36,9.98,21.92,7.25,38.62,6.92,91.84,72.02,88.86,4.54,25.4,49.57,161.3,71.57,21.42,,121.7,3.83,
10/25/2022,16.13,93.82,397.85,93.24,10.09,22.23,7.21,39.15,7.07,92.94,72.02,89.51,4.61,25.43,50.62,160.5,72.26,21.64,,124.68,3.96,
10/26/2022,15.99,94.37,397.66,93.44,10.4,22.42,7.24,39.18,7.26,93.5,72.02,89.23,4.75,25.69,51.19,160.39,72.79,21.7,,124.28,4.18,
10/27/2022,15.75,94.46,395.96,93.26,10.56,22.56,7.24,39.21,7.16,94.34,72.02,90.02,4.73,25.76,51.43,160.75,73.2,21.89,,124.56,4.16,
10/28/2022,16.3,94.47,400.75,93.75,10.64,22.54,7.29,39.17,7.18,94,72.02,89.63,4.52,25.4,51.47,159.47,73.7,21.81,,124.32,3.9,
10/31/2022,16.36,94.82,404.46,94.54,10.78,22.7,7.34,39.41,7.28,94.62,72.02,89.89,4.52,25.62,52.55,160.15,74.62,21.73,,125.88,4.01,
11/1/2022,16.15,95.32,403.12,94.78,10.92,22.81,7.42,39.71,7.35,95.05,72.02,90.51,4.73,26.17,52.84,161.09,74.96,21.72,,128.04,4.24,
11/2/2022,16,95.12,400.29,94.27,11.07,22.74,7.36,39.97,7.32,95.13,72.02,90.6,4.77,26.15,51.91,161.32,74.4,21.74,,126.92,4.24,
11/3/2022,15.48,94.21,395.31,93.48,11.03,22.44,7.45,39.96,7.24,94.74,72.02,91.55,4.84,26.37,51.43,161.15,73.77,21.61,,125.2,4.36,
11/4/2022,15.12,95.79,388.38,92.88,11.36,22.7,7.45,39.66,7.09,97.28,72.02,93.56,5.06,26.84,50.46,163.11,72.67,21.59,,128.76,4.55,
11/7/2022,15.31,96.23,390.94,93.32,11.5,22.76,7.43,39.77,7.14,98,72.02,94.08,5.08,26.78,50.83,162.22,73.02,21.53,,129.28,4.64,
11/8/2022,15.64,97.06,394.86,94.18,11.65,22.89,7.45,40.22,7.18,98.88,72.02,94.19,5.02,26.82,51.17,164.45,73.9,21.61,,129.7,4.56,
11/9/2022,15.28,96.68,390.1,93.1,11.65,22.97,7.39,39.9,7.13,99.36,72.02,93.24,4.88,26.64,50.01,164.74,73.05,21.68,,129.62,4.39,
11/10/2022,15.9,99.44,398,95.24,12.02,23.22,7.43,40.94,7.3,101.88,72.02,93.35,5.02,26.93,51.54,166.22,74.7,22.05,,132.76,4.59,
11/11/2022,15.98,99.51,395.77,94.98,12.19,23.16,7.31,41.07,7.31,102.08,72.02,93.63,5.17,27.1,51.23,164.8,74.34,21.96,,135.18,4.7,
11/14/2022,16.12,99.66,398.11,95.31,12.32,23.36,7.29,40.71,7.35,102.56,72.02,94.45,5.24,27.17,51.01,165.22,74.64,21.97,,135.66,4.76,
11/15/2022,16.37,99.95,399.72,96,12.59,23.41,7.3,41.1,7.42,102.98,72.02,95.32,5.49,27.73,51.66,164.76,74.61,22.01,,136.04,5.1,
11/16/2022,15.96,98.97,394.25,94.6,12.37,23.17,7.13,40.6,7.23,102.58,72.02,94.78,5.34,27.08,50.4,165.09,73.51,22.12,,135.24,4.93,
11/17/2022,15.95,98.7,392.26,94.21,12.12,23,7.13,40.66,7.14,101.58,72.02,94.74,5.43,27.12,49.72,164.61,72.68,22.08,,134.68,5.07,
11/18/2022,16.04,99.76,395.26,94.83,12.07,23.23,7.13,40.88,7.21,103,72.02,96.13,5.32,27,50.39,163.88,73.58,22.1,,136.66,4.95,
11/21/2022,16.05,99.78,397.53,95.06,12,23.42,7.15,40.88,7.25,102.28,72.02,96.29,5.27,26.91,50.4,163.55,74.23,22.13,,136.56,4.86,
11/22/2022,16.1,100.42,399.69,95.61,12.23,23.83,7.18,41.42,7.2,103.38,72.02,97.15,5.21,26.94,50.54,163.73,74.79,22.15,,137.34,4.74,
11/23/2022,16.28,101.04,400.98,95.94,12.21,23.83,7.11,41.74,7.24,103.32,72.02,97.37,5.21,26.92,50.66,162.52,74.81,22.22,,137.34,4.76,
11/24/2022,16.29,101.52,400.68,96.17,12.48,24,7.16,42.08,7.27,103.92,72.02,98.03,5.21,27.11,50.63,163.14,74.71,22.33,,138.18,4.76,
11/25/2022,16.13,101.58,400.2,95.96,12.47,24.12,7.18,41.91,7.25,103.8,72.02,98.34,5.12,26.86,50.72,162.66,74.88,22.25,,137.98,4.59,
11/28/2022,15.93,100.92,397.11,95.38,12.32,23.85,7.2,41.89,7.18,102.82,72.02,96.9,5.19,26.9,50.13,162.27,74.21,22.27,,136.96,4.69,
11/29/2022,15.68,100.66,393.87,95.07,12.3,23.86,7.26,41.62,7.2,102.8,72.02,97.85,5.42,27.34,49.93,163.55,73.9,22.25,,137.32,4.92,
11/30/2022,15.82,101.46,396.38,95.87,12.3,23.99,7.34,41.48,7.23,103.44,72.02,97.96,5.65,28.01,50.06,164.26,74.25,22.2,,138.1,5.2,
12/1/2022,16.2,102.28,401,96.57,12.56,24.1,7.3,41.57,7.39,103.58,72.02,96.55,5.54,27.64,50.65,165.67,74.98,22.43,,139.52,5.08,
12/2/2022,16.04,102.2,398.72,96.18,12.32,24.02,7.24,41.29,7.34,103.38,72.02,96.69,5.67,27.74,50.53,164.93,74.59,22.43,,138.88,5.32,
12/5/2022,15.97,101.62,395.52,95.37,12.28,23.97,7.16,40.79,7.32,103.16,72.02,96.4,5.66,27.59,49.56,163.28,73.8,22.45,,138.02,5.36,
12/6/2022,15.66,101.12,389.1,94.26,12.21,23.9,7.1,40.5,7.22,102.32,72.02,96.2,5.75,27.48,48.85,163.07,72.76,22.49,,137.52,5.48,
12/7/2022,15.44,100.46,387.21,93.7,12.25,23.78,7.11,40.59,7.05,101.98,72.02,95.68,5.62,27.21,48.72,163.87,72.67,22.56,,136.88,5.34,
12/8/2022,15.63,100.32,387.86,93.9,12.23,23.61,7.09,40.55,7.1,101.8,72.02,95.28,5.77,27.4,48.63,163.76,72.64,22.55,,136.58,5.58,
12/9/2022,15.75,101.22,389.25,94.4,12.27,23.77,7.01,41.04,7.13,102.1,72.02,96.18,5.84,27.51,48.47,165.19,72.69,22.47,,137.04,5.63,
12/12/2022,15.71,100.7,387.8,93.85,12.43,23.73,6.99,40.68,7.09,102.34,72.02,95.74,5.66,27.06,48.47,163.61,72.62,22.43,,137.36,5.38,
12/13/2022,16.15,101.98,393.84,95.1,12.65,23.94,7.01,41.24,7.21,103.48,72.02,97.23,5.76,27.39,48.87,164.42,73.39,22.53,,138.62,5.57,
12/14/2022,16.05,101.98,392.72,94.89,12.68,23.99,7.01,41.24,7.15,103.24,72.02,96.65,5.75,27.2,48.81,164.25,73.36,22.51,,138.16,5.51,
12/15/2022,15.29,98.99,378.58,91.8,12.4,23.59,6.84,39.98,7.02,99.88,72.02,94.1,5.65,26.64,47.01,161.22,70.96,22.47,,134.04,5.35,
12/16/2022,15.07,97.83,375.33,91.25,12.39,23.28,6.87,40.14,6.99,99.39,72.02,95.63,5.69,26.83,46.65,163.03,70.27,22.4,,132.74,5.39,
12/19/2022,14.84,98.08,373.04,90.9,12.37,23.39,6.92,40.03,6.9,99.61,72.02,95.65,5.61,26.75,46.4,162.84,70.09,22.23,,133.06,5.3,
12/20/2022,14.78,97.74,371.2,90.6,12.55,23.53,6.9,40.68,6.82,99.51,72.02,98.14,5.52,26.75,46.35,165.04,69.62,22.05,,132.86,5.19,
12/21/2022,15.14,99.38,378.62,92.1,12.8,23.89,6.85,40.53,6.99,101.16,72.02,99.53,5.59,26.9,47.41,165.5,70.94,22.17,,134.98,5.28,
12/22/2022,14.67,98.48,372.24,90.84,12.79,23.74,6.75,40.36,6.99,100.12,72.02,99.37,5.61,26.79,46.38,163.81,69.9,22.12,,133.34,5.33,
12/23/2022,14.66,98.54,373.06,91.01,12.8,23.76,6.65,40.31,6.89,100.36,72.02,99.51,5.57,26.68,46.52,163.98,70.2,22.13,,133.26,5.25,
12/26/2022,14.58,98.7,372.58,91.08,12.5,23.77,6.73,40.13,6.83,100.14,72.02,99.65,5.71,26.94,46.44,165.11,70.41,22.13,,133.26,5.25,
12/27/2022,14.58,98.7,372.58,91.08,12.5,23.77,6.73,40.13,6.83,100.14,72.02,99.65,5.71,26.94,46.44,165.11,70.41,22.01,,133.72,5.43,
12/28/2022,14.44,98.46,370.51,90.56,12.53,23.73,6.78,40.01,6.77,99.84,72.02,99.34,5.62,26.77,45.98,163.88,70.07,21.96,,133.82,5.33,
12/29/2022,14.67,99.21,373.22,91.27,12.86,23.9,6.81,40.31,6.9,101.04,72.02,99.69,5.72,27.04,46.6,164.2,70.45,21.98,,134.44,5.41,
12/30/2022,14.51,98.32,370.73,90.61,12.76,23.72,6.77,40.1,6.86,99.55,72.02,99.25,5.65,26.82,46.24,164.17,70.02,21.92,,133.1,5.3,
1/2/2023,14.97,99.51,379.36,92.27,12.78,24.12,6.8,40.7,6.91,101.42,72.02,100.84,5.7,26.87,47.5,165.47,71.48,21.89,,134.72,5.37,
1/3/2023,14.62,99.98,373.63,91.65,13,24.16,6.82,40.76,7.01,102.7,72.02,102.92,5.89,27.24,46.74,167.59,70.7,21.98,,135.76,5.59,
1/4/2023,14.71,101.5,377.11,92.53,13.32,24.58,6.78,40.22,6.91,104.4,72.02,106.22,6.11,27.66,47.31,169.11,71.73,22.14,,137.82,5.87,
1/5/2023,14.59,101.28,374.61,92.16,13.19,24.71,6.8,39.72,6.96,104.28,72.02,106.24,6.21,27.84,46.9,168.01,71.33,22.07,,138.42,5.93,
1/6/2023,14.62,102.52,377.57,92.96,13.36,25.02,6.77,40.13,7.01,105.72,72.02,107.36,6.21,28.09,47.57,169.5,72.18,22.2,,140.64,5.83,
1/9/2023,15.01,103.26,380.01,93.58,13.55,25.07,6.79,40.28,6.98,106.86,72.02,107.26,6.22,28.28,47.61,168.69,72.46,22.31,,141.48,5.87,
1/10/2023,14.73,102.72,375.29,92.61,13.72,25.05,6.74,39.76,6.88,106.6,72.02,107.18,6.21,28.17,47.42,168.78,71.72,22.23,,142.04,5.85,
1/11/2023,14.94,103.18,379.07,93.39,13.54,25.01,6.72,40.01,6.98,107.32,72.02,106.94,6.27,28.29,48.13,168.03,72.57,22.32,,143.18,5.86,
1/12/2023,15.02,103.74,379.64,93.66,13.66,25.36,6.71,40.49,7.02,108.16,72.02,108.12,6.18,28.29,48.42,169.06,72.56,22.4,,144.86,5.72,
1/13/2023,15.03,104.34,380.16,94,13.64,25.51,6.72,40.89,7.01,108.3,72.02,108.64,6.26,28.44,48.98,170.85,72.65,22.46,,145.76,5.79,
1/16/2023,15.13,104.78,382.26,94.34,13.72,25.42,6.66,40.76,7.12,108.8,72.02,108.42,6.23,28.33,49.21,170.97,72.93,22.43,,145.3,5.7,
1/17/2023,15.24,105.2,382.84,94.63,13.46,25.5,6.76,41.35,7.07,109.02,72.02,108.12,6.22,28.44,49.17,171.07,73,22.48,,146,5.71,
1/18/2023,15.15,105.36,379.01,94.07,13.46,25.66,6.76,41.45,7.15,109.42,72.02,108.38,6.19,28.31,48.91,170.46,72.39,22.59,,146.34,5.67,
1/19/2023,14.87,103.8,372.97,92.93,13.25,25.28,6.76,41.28,7.04,107.56,72.02,106.92,6.26,28.42,47.72,171.83,70.95,22.6,,143.66,5.68,
1/20/2023,15.03,104.16,375.79,93.61,13.44,25.62,6.74,41.44,6.99,108.18,72.02,108.2,6.35,28.65,48.19,171.59,71.48,22.5,,143.66,5.8,
1/23/2023,15.58,104.72,383.34,94.93,13.65,25.72,6.72,41.46,7.07,108.9,72.02,109.02,6.44,28.99,48.94,170.92,72.73,22.47,,145.4,5.9,
1/24/2023,15.54,104.58,381.99,94.71,13.54,25.8,6.67,41.72,7.08,109.16,72.02,110.02,6.42,28.87,49.03,171.85,72.63,22.5,,145.34,5.88,
1/25/2023,15.29,104.26,377.91,94.03,13.32,25.77,6.58,41.89,6.98,109.1,72.02,109.76,6.41,28.74,48.51,171.56,71.92,22.49,,144.32,5.86,
1/26/2023,15.58,104.66,383.77,95.17,13.44,25.97,6.61,41.92,7.07,110.48,72.02,112.06,6.52,29.14,48.99,171.25,72.92,22.48,,145.82,6.03,
1/27/2023,15.81,105,387.76,95.85,13.64,25.91,6.45,42.18,7.05,111.54,72.02,112.7,6.54,29.09,49.44,171.85,73.46,22.43,,145.94,6.05,
1/30/2023,15.63,104.74,385.49,95.32,13.32,25.84,6.44,42.09,7,111.1,72.02,112.72,6.34,28.69,49.35,171.06,73.3,22.39,,145.06,5.84,
1/31/2023,15.64,104.5,385.49,95.14,13.38,25.79,6.42,41.97,6.99,112.12,72.02,114.74,6.27,28.5,49.84,171.48,73.33,22.4,,146.28,5.78,
2/1/2023,15.68,104.36,385.56,95.09,13.21,25.98,6.33,41.75,7.05,112.58,72.02,115.94,6.3,28.54,49.81,170.65,73.42,22.44,,146.04,5.89,
2/2/2023,16.42,105.84,396.67,97.13,13.46,26.41,6.27,42.07,7.11,114.28,72.02,115.34,6.25,28.65,51.73,169.74,75.45,22.67,,147.66,5.86,
2/3/2023,16.71,106.22,399.53,97.5,13.39,26.4,6.34,41.92,7.14,113.66,72.02,115.26,6.2,28.52,52.27,166.28,75.45,22.52,,148.74,5.83,
2/6/2023,16.55,105.44,397.87,96.94,12.98,26.18,6.35,41.71,7.12,113.52,72.02,114.62,6.11,28.19,51.73,168.22,75.25,22.43,,146.9,5.69,
2/7/2023,16.64,105.64,398.67,97.15,13.05,26.08,6.35,42.09,7.11,114.24,72.02,115.88,6.14,28.29,51.42,169.6,75.11,22.38,,148.16,5.7,
2/8/2023,16.67,105.9,397.76,97.02,13.12,26.24,6.4,41.95,7.18,114.68,72.02,116.72,6.07,28.21,51.24,168.85,75.08,22.33,,148.08,5.57,
2/9/2023,16.72,106.52,397.58,97.22,13.15,26.28,6.41,42.22,7.1,115.88,72.02,118.24,6.2,28.45,50.94,168.3,74.97,22.39,,148.8,5.75,
2/10/2023,16.47,105.58,395.84,96.77,12.81,26.01,6.43,42.37,7.02,114.98,72.02,116.64,6.11,28.3,50.6,168.16,74.72,22.25,,146.82,5.58,
2/13/2023,16.72,106.54,398.7,97.34,12.83,26.28,6.36,42.02,7.04,115.7,72.02,117.26,6.16,28.36,50.84,167.1,75.11,22.23,,148.1,5.63,
2/14/2023,16.63,106.56,396.58,96.96,12.85,26.44,6.36,41.89,7.05,116.14,72.02,117.88,6.08,28.22,50.62,166.55,74.76,22.18,,148.9,5.53,
2/15/2023,16.84,107.16,400.67,97.6,13.02,26.62,6.46,41.71,7.05,116.1,72.02,117.54,6.07,28.09,51.4,165.92,75.59,22.13,,149.54,5.52,
2/16/2023,16.82,107.28,399.8,97.55,12.94,26.88,6.48,41.72,7.05,117.52,72.02,120.66,6.09,28.26,51.63,166.16,75.42,22.12,,149.94,5.61,
2/17/2023,16.41,107.12,393.93,96.42,12.9,26.91,6.45,41.6,7.01,117.06,72.02,120.32,5.95,27.93,51.2,166.32,74.57,22.09,,149.9,5.41,
2/20/2023,16.43,107.22,394.63,96.65,12.91,26.71,6.44,41.72,7.07,116.48,72.02,119.6,6.09,28.2,51.18,166.66,74.48,22.08,,149.4,5.55,
2/21/2023,16.17,106.94,390.27,95.68,12.68,26.66,6.4,41.38,7.04,115.66,72.02,119.52,5.92,27.77,50.3,166.23,73.68,22,,148.82,5.31,
2/22/2023,16.12,106.62,390.17,95.6,12.52,26.46,6.34,41.25,6.93,114.32,72.02,116.82,5.88,27.66,50.38,166.77,73.77,21.98,,148.44,5.28,
2/23/2023,16.27,106.76,390.16,95.62,12.78,26.65,6.35,41.43,6.94,115.14,72.02,118.36,5.88,27.8,50.44,166.09,73.63,22.02,,149.04,5.28,
2/24/2023,16.17,105.54,388.87,94.93,12.66,26.49,6.31,41.18,6.86,114.08,72.02,117.3,5.73,27.33,50.38,165.96,73.49,21.97,,146.74,5.12,
2/27/2023,16.25,106.84,390.4,95.52,12.73,26.86,6.31,41.44,6.88,115.8,72.02,120.04,5.79,27.41,50.71,165.42,73.85,21.95,,149.1,5.16,
2/28/2023,16.23,106.32,389.13,95.12,12.98,27.07,6.26,41.32,6.86,115.94,72.02,122.28,5.74,27.28,50.82,166.31,73.59,21.92,,149.04,5.12,
3/1/2023,15.97,105.64,384.13,94.39,13.13,26.85,6.28,41.14,6.84,115.1,72.02,119.98,5.89,27.59,50.06,166.19,72.57,21.87,,148.6,5.29,
3/2/2023,16.04,106.2,385.68,94.84,12.85,26.89,6.33,41.24,6.86,115.56,72.02,119.56,5.99,27.82,50.29,167.39,72.97,21.82,,148.44,5.41,
3/3/2023,16.45,107.2,392.95,96.33,12.99,27.3,6.45,42.04,6.92,117.4,72.02,121.88,6.03,28.03,50.98,168.13,74.24,21.87,,150.08,5.48,
3/6/2023,16.76,107.2,395.47,96.62,13.29,27.38,6.45,42.03,7.02,117.74,72.02,123.22,5.96,27.99,50.69,167.39,74.31,21.91,,150.8,5.39,
3/7/2023,16.61,106.32,393.07,96.07,13.1,27.12,6.47,42.23,6.94,117.06,72.02,121.36,5.87,27.79,50.36,166.07,73.78,21.87,,149.56,5.26,
3/8/2023,16.62,106.4,391.48,95.93,13.13,27.28,6.51,42.57,6.91,117.68,72.02,121.94,5.81,27.82,50.22,166.41,73.53,21.91,,150.12,5.18,
3/9/2023,16.8,106.26,391.91,95.78,12.95,27.17,6.44,42.81,6.82,116.92,72.02,120.1,5.65,27.45,49.74,166.94,73.26,21.92,,150.06,4.99,
3/10/2023,16.31,104.88,382.76,93.86,12.78,26.68,6.35,42.12,6.71,115.04,72.02,115.44,5.6,27.12,48.08,168.1,71.25,22.08,,146.34,4.94,
3/13/2023,16.08,102.22,374.48,91.83,12.34,25.76,6.18,41.18,6.63,110.64,72.02,107.36,5.58,26.73,46.14,171.39,68.86,22.39,,144,4.93,
3/14/2023,16.38,103.9,380.03,92.99,12.34,26.36,6.19,40.88,6.65,112.84,72.02,110.78,5.61,26.75,47.22,171.62,69.86,22.24,,146.02,4.97,
3/15/2023,16.44,100.76,379.28,92.15,11.89,25.25,6.13,40.72,6.73,107.66,72.02,101.28,5.57,26.52,46.22,177.1,68.92,22.48,,142.84,4.88,
3/16/2023,16.83,102.08,384.43,93.39,11.94,25.58,6.21,41.17,6.79,109.24,72.02,102.66,5.61,26.82,46.83,174.61,69.56,22.37,,143.92,4.97,
3/17/2023,16.89,100.84,381.82,92.65,11.73,25.07,6.14,40.99,6.78,107.52,72.02,99.86,5.57,26.65,45.98,177.17,68.67,22.48,,142.14,5.03,
3/20/2023,16.76,101.96,380.86,92.65,11.76,25.41,6.14,41.19,6.63,109.3,72.02,101.82,5.54,26.57,45.99,178.02,68.85,22.43,,144.66,5.01,
3/21/2023,16.79,103.32,383.82,93.33,12.11,26.05,6.11,41.1,6.7,112.12,72.02,106.8,5.57,26.61,46.63,174.17,69.38,22.31,,146.68,5.07,
3/22/2023,16.98,103.4,384.55,93.52,12.02,25.97,6.13,41.08,6.69,112.06,72.02,106.02,5.62,26.84,46.24,174.37,69.15,22.29,,145.56,5.1,
3/23/2023,17.02,103.24,380.18,92.99,12,25.82,6.11,41.24,6.6,111.9,72.02,103.4,5.74,27.09,45.24,176.72,67.97,22.46,,147.04,5.29,
3/24/2023,16.95,101.96,380.35,92.75,11.73,25.3,6.11,41.44,6.56,109.4,72.02,99.21,5.72,27.03,45.15,178.23,67.98,22.56,,146.42,5.34,
3/27/2023,16.98,103.08,383.35,93.36,11.82,25.64,6.11,41.56,6.67,110.74,72.02,100.84,5.62,26.85,45.81,175.21,68.77,22.45,,145.8,5.2,
3/28/2023,16.68,102.96,380.5,93.04,11.93,25.75,6.05,41.52,6.63,111.18,72.02,101.72,5.77,27.06,45.85,175.36,68.68,22.37,,145.88,5.38,
3/29/2023,17.02,104.34,383.99,93.92,12.01,26.12,6.08,41.68,6.67,112.82,72.02,103.76,5.81,27.25,45.97,175.32,69.3,22.4,,147.34,5.43,
3/30/2023,17.2,105.44,385.5,94.36,12.41,26.51,6.08,41.63,6.69,114.08,72.02,105.82,5.86,27.32,46.1,174.79,69.65,22.34,,149.72,5.48,
3/31/2023,17.35,106.18,390.24,95.34,12.35,26.59,6.18,42.17,6.65,114.5,72.02,105.66,5.84,27.44,46.91,175.91,70.45,22.38,,150.84,5.43,
4/3/2023,17.36,106.08,391.64,95.51,12.54,26.55,6.18,42.19,6.7,114.74,72.02,106.12,5.79,27.34,46.53,176.5,70.56,22.49,,151.48,5.41,
4/4/2023,17.33,106,388.89,95.01,12.46,26.61,6.18,42.06,6.75,114.14,72.02,106.3,5.72,27.18,45.65,177.9,69.6,22.55,,151.22,5.3,
4/5/2023,17.07,105.9,388.56,94.78,12.34,26.74,6.22,41.55,6.71,113.28,72.02,105.72,5.68,27.08,45.28,178.63,69.6,22.65,,150.6,5.25,
